Gene,P0,TBLC_P6,TBLC_P6_r1,TBLC_P6_r2,,
Mbtd1,205.6948154,113.6690346,179.6896794,138.2927257,,
H2afx,292.9988632,246.9460975,676.6915361,576.0590717,,
H2afy,255.7470463,182.51287,204.7681913,264.7799748,,
H2afz,523.7720406,305.5784169,855.6674058,451.0173912,,
Gm29679,0,0,0,0,,
Gm29678,0,0,0,0,,
Pigyl,21.00312821,23.63510504,33.12076717,41.9696739,,
Dclk2,38.29674871,25.40893646,39.49746659,52.08865383,,
Theg,0.20898635,0.191765558,0.095174618,0.096371237,,
Gm21083,0,0.719120843,0.618635019,0,,
10-Sep,62.95713805,39.98311888,45.20794369,40.09043477,,
Fgf18,1.149424927,1.102651959,1.855905057,0.578227425,,
Fgf13,2.089863504,10.97857821,5.61530248,6.553244145,,
Fgf12,0.522465876,1.00676918,0.190349237,0,,
Fgf11,18.12956589,10.30739875,9.089176048,25.53837792,,
Fgf10,21.21211456,43.72254726,26.26819465,17.20226588,,
Fgf17,23.82444394,2.588835035,39.11676812,16.09399665,,
Fgf16,0,0.095882779,0.190349237,0,,
Fgf15,40.75233832,6.711794536,61.76832728,55.60620399,,
Fgf14,0,0.767062233,0.095174618,0,,
Prss46,0,2.972366152,1.427619274,0.337299331,,
Prss44,1.201671515,0.862945012,0.475873091,2.505652173,,
Prss45,0.104493175,0.287648337,0.190349237,0.674598662,,
Prss42,4.493206533,16.15624828,12.56304962,24.81559364,,
Lvrn,0.20898635,0.479413895,0.190349237,0.192742475,,
Prss40,0,0,0.190349237,0.192742475,,
Prss41,13.37512642,4.027076722,7.661556773,10.64902174,,
Prss48,0.731452226,0.575296675,0.57104771,0.144556856,,
Phc1,981.1386684,519.8284868,871.7995036,1009.344155,,
Phc3,74.13790779,121.1478914,57.723406,94.20288458,,
Phc2,61.65097336,133.4208871,97.7919203,58.69008359,,
Golt1b,93.93936449,107.6284195,107.8328425,95.50389629,,
Golt1a,0.20898635,2.10942114,0.618635019,0.433670568,,
4930544M13Rik,0.104493175,0,0,0,,
Grin1os,1.358411277,0,0.285523855,0.722784281,,
F830208F22Rik,1.149424927,0.719120843,1.046920801,1.349197324,,
Chmp3,143.4691295,130.4005796,174.7881865,151.6883277,,
Chmp7,94.72306331,135.4344255,110.1646207,109.2367976,,
Chmp6,45.76801073,32.0727896,56.10543749,25.00833611,,
Chmp5,126.436742,189.2246645,143.7136736,161.4700083,,
