gene,P0,P1,P2,P4,P5,P6,P7,P10,P15
Pram1,3.60501454388259,1.54798356089089,4.48774960921609,2.1656416931029,1.89379192821511,0.651480086751088,1.16751574249039,7.64538142508111,2.02025592184034
Prame,0,0,0.407977237201463,0.211282116400283,0.216433363224584,0,0,0.149909439707473,0.0696639973048393
Pramef12,48.6938196362112,122.469314798175,134.632488276483,159.148254178513,80.9460778459946,72.3142896293708,74.7210075193851,68.3587045066076,80.9495648682232
Pramef17,0,1.19075658530068,0.815954474402925,3.01077015870403,2.75952538111345,2.76879036869213,2.44116927975264,1.94882271619715,3.97084784637584
Pramef20,0,0,0,0,0,0.108580014458515,0,0,0
Pramef25,0,3.27458060957687,7.63500258191309,30.9528300526415,27.2164954254915,35.017054662871,26.4283108981916,26.9836991473451,27.5172789354115
Pramef6,0,0.238151317060136,0.233129849829407,3.85589862430517,3.78758385643023,6.13477081690608,5.14768304643491,4.27241903166297,1.32361594879195
Pramef8,45.3500380302911,98.2374182873062,73.3776202338059,112.29644486675,112.924107262427,67.4281889787376,69.0957043964769,78.6275011265694,60.0503656767714
Pramel1,10.9717833944253,21.1954672183521,15.4448525511982,29.84359894154,12.2825933629952,5.10326067955019,4.45778738041786,8.245019183911,9.7529596226775
Pramel3,0,0,0.233129849829407,0.0528205291000708,0.216433363224584,0,0,0.149909439707473,0
Pramel4,0,0.119075658530068,0,0,0,0,0,0,0
Pramel5,0,0.119075658530068,0.116564924914704,0.211282116400283,0,0.542900072292574,0.742964563402977,1.42413967722099,0
Pramel6,0,0.773991780445443,1.34049663651909,6.4969250793087,6.16835085190066,4.34320057834059,3.92709840655859,0.749547198537364,2.64723189758389
Pramel7,0.208986350370005,2.14336185354123,2.50614588566613,9.56051576711281,8.06214278011577,5.64616075184277,3.13106494576969,5.02196623020034,2.64723189758389
Prap1,0.104493175185003,0.416764804855239,1.86503879863526,1.2676926984017,0.97395013451063,0.434320057834059,0.530688973859269,0.749547198537364,0.417983983829036
Prc1,291.58820535375,306.738896373456,250.381458716783,283.48777968008,159.294955333294,110.588744725997,125.08339113863,262.716293087346,177.155545146206
Prcc,79.728292666157,87.28245770254,75.9420485819294,87.6820783061175,76.7256272631152,71.1199094703271,73.2350783925792,125.998884074131,74.7494691080925
Prcd,1.88087715333005,2.26243751207129,2.56442834812348,1.69025693120226,0.432866726449169,0.868640115668118,2.81265156145413,0.524683038976154,0.348319986524196
Prcp,38.5057350556734,40.247572583163,49.8315054010358,53.4543754492716,53.7295824205031,50.3268367015216,55.3508599735218,43.0989639158984,39.4994864718439
Prdm1,19.905949872743,16.6110543649445,12.2393171160439,13.5220554496181,24.1864283403473,15.4726520603383,21.5990412360723,8.31997390376474,64.4391975069763
Prdm10,22.0480599640355,29.2926119983968,26.1105431808936,22.5015453966301,17.044127353936,19.3272425736156,16.5574959844092,20.762457399485,17.0676793396856
Prdm11,2.35109644166256,2.4410509998664,2.56442834812348,1.90153904760255,4.43688394610398,1.90015025302401,1.27365353726225,1.6490038367822,2.57756790027905
Prdm12,0.104493175185003,0.833529609710477,0.116564924914704,0,0.324650044836877,0.217160028917029,0,0.0749547198537364,0
Prdm13,0.104493175185003,0.952605268240545,0.233129849829407,0.950769523801274,0.649300089673753,0.108580014458515,0.106137794771854,0.149909439707473,0.557311978438714
Prdm14,45.2455448551061,58.6447618260586,53.3284531484769,40.7774484652546,44.422947801846,29.1537338821112,35.9807124276585,8.31997390376474,32.951070725189
Prdm15,30.5120071540207,48.0470282168825,41.4388308071771,38.7174478303519,37.6052968602715,41.5318555303819,36.5644702989037,44.2982394335582,25.148703027047
Prdm16,13.7930991244203,14.5867681699333,11.7730574163851,13.2051322750177,10.7134514796169,7.05770093980346,9.34012593992314,5.32178510961528,15.5350713989792
Prdm2,163.166093051381,211.895134354256,195.595944006873,213.764681267986,200.687836049996,173.99947316977,159.843518926412,237.156733617222,173.533017286355
Prdm4,80.355251717267,113.89586738401,100.187552964188,82.7169485707108,114.70968250903,107.114184263325,105.713243592766,163.851017600268,92.0261404396927
Prdm5,54.5976840341638,79.0066994347002,59.6229590938709,62.4866859253837,48.1023149766639,37.5686850026461,45.6923206492831,35.4535824908173,53.4322859328117
Prdm6,0,0.893067438975511,1.28221417406174,2.32410328040311,1.78557524660282,0.434320057834059,0.106137794771854,0.449728319122418,1.46294394340162
Prdm8,0.104493175185003,0.833529609710477,0.524542162116166,0.950769523801274,0.378758385643023,0.380030050604802,0.371482281701489,0,0.417983983829036
Prdm9,2.97805549277257,2.50058882913143,4.48774960921609,4.91230920630658,5.57315910303305,2.38876031808732,2.81265156145413,22.186597076706,5.57311978438714
Prdx1,996.133439038629,1322.75195278126,959.387614510468,953.463370785377,1109.54563657083,1550.63118648205,1627.78228951854,997.797230692938,857.494142825267
Prdx2,238.453425772176,267.384391229268,202.240144727011,241.601100103724,345.481756047243,445.992409388349,452.306212420255,102.388147320204,270.714293526605
Prdx3,85.7366502392946,103.595822921159,99.3133160273275,76.0087413750018,103.292822598933,103.04243372113,94.1442239626344,58.0149531667919,69.7336613021441
